title_of_work,year_of_creation,image_of_work,artist_name,work_url,artists_url,biological,environmental,of_non_living,commercial,personal,social,state,closed,open,shared,live,real_time,geospatial,static,temporal,anecdata,causal,generated,metadata,processed,retrieved,streamed,anonymised,identifiable,unknown,approved,of_other,notes,submitted_by
"Body 01000010011011110110010001111001",2012,body_dark_copy.jpg,Stanza,http://www.stanza.co.uk/body/index.html,http://www.stanza.co.uk/,,environmental,,,,,,closed,,,live,real-time,geospatial,,temporal,,,,,,,streamed,,,,yes,,,
"The SKOR Codex",2012,skorcodex_cropped_small.jpg,"La Société Anonyme",http://societeanonyme.la/#codex,http://societeanonyme.la/,biological,environmental,,,personal,social,,,,shared,live,,,,,anecdata,,,metadata,processed,,,,,,yes,,,
"Still lifes and oscillators 1",2012,grs_8009_v3_square_smaller.jpg,"Ben Garrod",http://theodi.org/culture/still-lifes-and-oscillators-1-2012,http://bengarrod.com/,,,object,,,,,,,,,,geospatial,,,,,,,processed,,,,,,yes,,,
PigeonBlog,2006,pigeonblog.jpg,"Beatriz da Costa; Cina Hazegh; Kevin Ponto.",http://web.archive.org/web/20120516105529/http://www.pigeonblog.mapyourcity.net/blurb.php,http://www.beatrizdacosta.net/,,environmental,,,,,,,,shared,live,real-time,geospatial,,,,,,,processed,,,,identifiable,,yes,,,
"Black Shoals",2002,blackshoals.gif,"Lise Autogena; Joshua Portway",http://www.blackshoals.net/,"http://www.autogena.org; http://www.stain.org/",,,,commercial,,,,,open,shared,live,real-time,,,temporal,,,generated,metadata,processed,,,,,unknown,yes,,,
"Dear Data",2015,stefanie_deardata_37front.jpg,"Stefanie Posevec; Georgia Lupi",http://www.dear-data.com,"http://www.stefanieposavec.co.uk; http://giorgialupi.com/",,,,,personal,,,,,shared,,,geospatial,static,temporal,anecdata,,,metadata,,,,,identifiable,,yes,,,
"Process Compendium",2004,reas_p6_images2_p_0.jpg,"Casey Reas",http://reas.com/compendium_text/,http://reas.com/,,,,,,,,,,,,,,,,,,generated,,,,,,,,yes,algorithmic,,
"Listening Post",2001,listening-post.jpg,"Ben Rubin; Mark Hansen",http://o-c-r.org/portfolio/listening-post/,"http://o-c-r.org/abstract/; http://www.stat.ucla.edu/~cocteau/",,,,,personal,,,,,shared,live,real-time,,,temporal,,,,,processed,,streamed,anonymised,,,yes,,"great article: http://modes.io/listening-post-ten-years-on/",
Mori,1999,mori-1999.jpg,"Ken Goldberg; Randall Packer; Gregory Kuhn; Wojciech Matusik",http://goldberg.berkeley.edu/art/mori,http://goldberg.berkeley.edu/,,environmental,,,,,,,open,shared,live,real-time,geospatial,,temporal,,,,,,,streamed,,,,yes,,"Same data used for Bloom",
"Time Line",2009,timeline.png,"Lev Manovich; Jeremy Douglass",https://www.flickr.com/photos/culturevis/3951496507/in/set-72157624959121129,"http://manovich.net/; http://jeremydouglass.com/",,,object,,,social,,closed,,,,,,static,,,,,,processed,retrieved,,,,,yes,scanned,,
"The Live Wire",1995,livewire.gif,"Natalie Jeremijenko",http://tech90s.walkerart.org/nj/transcript/nj_04.html,http://,,,object,,,,,,,,,real-time,,,,,,,,,,,,,,yes,,,
"Amphibious Architecture",2009,amphibiousarchitecture.png,"Chris Woebken; Natalie Jeremijenko",http://chriswoebken.com/WORK/AMPHIBIOUS-ARCHITECTURE,"http://chriswoebken.com; http://www.nataliejeremijenko.com/",biological,environmental,,,,,,,,shared,live,real-time,geospatial,,temporal,,,,,,,streamed,,,,yes,,,
"Flight Patterns",2009,flight_patterns.png,"Aaron Koblin",http://www.aaronkoblin.com/work/flightpatterns/index.html,http://www.aaronkoblin.com,,,object,,,social,,,open,,,,geospatial,,temporal,,,,,processed,retrieved,,,,,yes,,,
"Bicycle Built for Two Thousand",2009,daisydaisy.png,"Aaron Koblin, Daniel Massey",http://www.bicyclebuiltfortwothousand.com/,"http://aaronkoblin.com; http://www.daniel-massey.com/",,,,,personal,,,,,shared,live,,,,,,causal,,,processed,retrieved,,,,,yes,,,
Breathe/Live/Speak,2010,breathe-live-speak.png,"Ruth Beer; Andres Wanner",http://2013.xcoax.org/pdf/xcoax2013-wanner-a.pdf,"http://www.ecuad.ca/people/profile/14242; http://www.pixelstorm.ch/;",biological,environmental,,,,,,,,shared,live,,geospatial,,temporal,,,generated,,processed,retrieved,,,,,yes,found,,
"Your fingerprints on the artworks are the artwork itself",2014,paolocirio.png,"Paolo Cirio",http://dataasculture.org,http://paolocirio.net/,,,,,personal,,,,,,,,,,,,,,metadata,processed,retrieved,,,,,yes,,,
"365 Days of Data",2013,365daysofdata.png,Semiconductor,http://semiconductorfilms.com/art/365-days-of-data/,http://semiconductorfilms.com,,environmental,,,,,,,,,live,,,,temporal,,,,,processed,,,,,,yes,,"Part of the Data Projector project http://semiconductorfilms.com/art/data-projector/",
"Unnumbered Sparks",2014,unnumberedsparks.png,"Aaron Koblin; Janet Echelman",http://www.unnumberedsparks.com/,"http://www.aaronkoblin.com/; http://www.echelman.com/",,,,,,social,,,,shared,,,geospatial,,,,,,,processed,,,,,,yes,,,
"Band 9",2015,band9.png,Semiconductor,http://semiconductorfilms.com/art/band-9/,http://semiconductorfilms.com,,environmental,,,,,,,open,,,,geospatial,,temporal,,,,,processed,retrieved,,,,,yes,,,
"Brilliant Noise",2006,brilliant_noise.png,Semiconductor,http://semiconductorfilms.com/art/brilliant-noise/,http://semiconductorfilms.com/,,environmental,,,,,,,open,,,,geospatial,,temporal,,,,,processed,retrieved,,,,,yes,,,
"The Shaping Grows",2012,shaping.jpg,Semiconductor,http://semiconductorfilms.com/art/the-shaping-grows/,http://semiconductorfilms.com,,environmental,,,,,,,,,,,geospatial,static,temporal,,,generated,,processed,,,,,,yes,,,
"Punchcard Economy",2013,web_pce-odi-29.jpg,"Sam Meech",http://punchcardeconomy.co.uk/,http://smeech.co.uk/,,,,,personal,,,,,shared,,,,static,temporal,,,,,processed,,,,,,yes,,,
"Endless War",2011,yoha_endless_war_002paolabernardelli_copy.jpg,"YoHa with Matthew Fuller",http://yoha.co.uk/node/761,http://yoha.co.uk,,,,,personal,social,state,,,shared,,,,static,,,,,metadata,processed,retrieved,,,,,yes,,,
"The Obelisk",2012,obl01_hdr2_cropped_small.jpg,"Fabio Lattanzi Antinori",http://fabiolattanziantinori.com/obelisk.php,http://fabiolattanziantinori.com/,,,,,,social,,,,shared,,real-time,,,,,,,,,retrieved,,anonymised,,,yes,,,
