id,"tag_id","sex","colony","dob","dob_estimated_flag","notes"
1,"034*537*041","F","omega","1995-09-03",NULL,NULL
2,"034*330*827","F","omega","2006-07-01","e","Queen"
3,"024*787*013","M","omega","2006-07-01","e",NULL
4,"037*310*599","M","omega","2006-07-01","e",NULL
5,"037*281*578","M","omega","2006-07-01","e",NULL
6,"036*531*284","M","omega","2006-07-01","e",NULL
7,"034*527*082","F","omega","2006-07-01","e",NULL
8,"034*575*556","M","omega","2006-07-01","e",NULL
9,"036*522*098","F","omega","2006-07-01","e",NULL
10,"037*099*377","M","omega","2006-07-01","e",NULL
11,"036*558*113","M","omega","2007-01-01","e",NULL
12,"025*633*288","M","omega","2007-01-01","e",NULL
13,"052*125*568","F","omega","2009-06-22",NULL,NULL
14,"052*119*815","F","omega","2009-06-22",NULL,NULL
15,"045*036*091","F","omega","2009-01-01","e",NULL
16,"045*317*375","M","omega","2009-01-01","e",NULL
17,"045*307*104","M","omega","2009-01-01","e",NULL
18,"109*267*612","F","omega","2007-07-25",NULL,NULL
19,"045*124*561","F","omega","2014-11-11",NULL,NULL
20,"045*006*340","F","omega","2014-11-11",NULL,NULL
21,"045*098*879","F","omega","2014-11-11",NULL,NULL
22,"840*119*841","M","omega","2016-04-26",NULL,NULL
23,"840*122*058","M","omega","2016-04-26",NULL,NULL
24,"840*122*030","M","omega","2016-04-26",NULL,NULL
25,"840*121*114","F","omega","2016-08-07",NULL,NULL
26,"840*120*383","M","omega","2016-08-07",NULL,NULL
27,"840*119*813","M","omega","2016-08-07",NULL,NULL
28,"840*121*058","F","omega","2016-08-07",NULL,NULL
