Group,Name,Consent,Age,Gender,4. To what degree does each of these words describe the objects?,4.1. Unfamiliar,4.2. Hard,4.3. Beautiful,4.4. Novel,4.5. Repulsive,4.6. Artificial,4.7. Familiar,4.8. Ugly,4.9. Appealing,4.10. Natural,4.11. Disturbing,4.12. Alive,4.13. Relaxing,4.14. Organic,4.15. Dull,4.16. Unoriginal,4.17. Soft,4.18. Dead,4.19. Synthetic,4.20. Creative,5. Please describe the objects.,6. Please describe the way(s) that the objects move.,7. What do you think causes the objects to move?,8. What did you feel whilst observing the work?,"9. Please mark on each scale, how you would describe the movement of the objects.",9.1. Hypnotic,9.2. Unfamiliar,9.3. Hard,9.4. Mechanical,9.5. Beautiful,9.6. Natural,9.7. Disturbing,9.8. Alive,9.9. Predictable,9.10. Relaxing,9.11. Organic,9.12. Dull,9.13. Unoriginal,9.14. Soft,9.15. Dead,9.16. Synthetic,9.17. Novel,9.18. Repulsive,9.19. Weird,9.20. Stimulating,9.21. Artificial,9.22. Familiar,9.23. Creative,9.24. Normal,9.25. Robotic,9.26. Ugly,9.27. Appealing,9.28. Biological,9.29. Fluid,9.30. Random,10. Real-time activity from a colony of naked mole-rats are causing the objects to move. In what ways does knowing this change how you think about the work?,"11. Would you have objects like this, which display data, in your home?",11.a. Why or why not?,12. Do you have any other comments? We'd love to hear anything else you might be thinking or any questions you have about the objects.
A,r01,I agree,40 - 49,Male,,a little,a little,a little,not at all,not at all,a little,a little,not at all,a little,not at all,not at all,a little,a little,not at all,a little,a little,not at all,a little,very,a little,"Plastic, acrylic, wire, hair, polystyrene, miniature plinths, lamp. White noise, furnace, burner, torch, wheezing.",like a worm,"wires, algorithms, electricity",slightly calm mixed with boredom and anxiety due to sound,,a little,not at all,not at all,reasonably,a little,a little,a little,not at all,not at all,a little,a little,a little,a little,a little,a little,reasonably,not at all,a little,a little,a little,reasonably,reasonably,reasonably,reasonably,reasonably,a little,a little,a little,a little,reasonably,Poor rats,No,it's too much,"out of time, sorry"
A,r02,I agree,40 - 49,Male,,a little,very,not at all,reasonably,not at all,very,a little,reasonably,a little,a little,not at all,a little,not at all,a little,not at all,not at all,not at all,a little,reasonably,reasonably,"80s, future shock, small, dystopic, lunging, constricted, monolithic","stooping, lurching, slowly","motors, rods, computer programme. Not getting a sense that my presence does anything.","intrigued, impatient, uncertain",,a little,a little,a little,reasonably,a little,a little,not at all,a little,not at all,not at all,a little,a little,not at all,a little,not at all,reasonably,reasonably,not at all,a little,reasonably,a little,reasonably,reasonably,a little,reasonably,a little,a little,reasonably,reasonably,reasonably,"Funny, perceived a much more man-made force behind them",No,think I'm a bit too old - could see younger people embracing this a bit more.,
A,r03,I agree,30 - 39,Female,,reasonably,very,reasonably,very,not at all,very,very,not at all,reasonably,a little,not at all,not at all,a little,a little,not at all,not at all,not at all,not at all,very,very,small,randomly,electricity,"slightly anxious as to when they would move. thought the tall, slender object would fall over",,very,reasonably,not at all,very,reasonably,a little,not at all,a little,not at all,very,a little,not at all,not at all,reasonably,not at all,very,very,not at all,a little,a little,a little,not at all,very,a little,very,not at all,reasonably,a little,not at all,very,So clever!! A little creepy! I have never seen a mole rat in real life,Yes,,Very interesting project!
A,r04,I agree,16-19,Female,,very,reasonably,a little,a little,not at all,very,not at all,not at all,reasonably,not at all,not at all,not at all,a little,a little,not at all,not at all,a little,not at all,very,very,3-D seemingly solid structures that are moving slowly in a kind of pattern,"slowly, not random, from the top round, bottom is stationary",electrical impulses or a magnetic field because there are wires in the objects.,strange but calm,,reasonably,reasonably,not at all,a little,a little,reasonably,not at all,very,reasonably,very,a little,not at all,not at all,very,not at all,a little,a little,not at all,very,very,not at all,reasonably,very,not at all,a little,not at all,very,reasonably,reasonably,not at all,More special and creative,Yes,They seem calming,How much space do the rats have to move and would roaming space make a difference to the movement of the objects?
A,r05,I agree,30 - 39,Female,,very,a little,a little,reasonably,not at all,reasonably,a little,not at all,a little,not at all,not at all,not at all,reasonably,not at all,not at all,not at all,a little,not at all,reasonably,very,Unusual 3D objects that look to be made of a silicone material.,Slow mesmerising movement. The taller object slightly more interesting.,,Calm,,reasonably,very,a little,a little,reasonably,not at all,not at all,reasonably,not at all,reasonably,not at all,not at all,not at all,reasonably,not at all,a little,a little,not at all,a little,a little,a little,a little,reasonably,not at all,reasonably,not at all,reasonably,reasonably,very,very,I'm not comfortable with animals being used for science / art,No,as above,
A,r06,I agree,20 - 29,Male,,reasonably,a little,reasonably,reasonably,a little,a little,a little,a little,a little,reasonably,a little,a little,a little,a little,reasonably,not at all,a little,a little,reasonably,reasonably,A set of swept rubber sections with actuators to cause movement,Objects tend to undergo bending with torsional and lateral components. Appears to be compression and elongation.,Possible internal cables which are put into tension in set patterns to produce the motion,intrigued,,reasonably,a little,not at all,reasonably,a little,not at all,a little,a little,reasonably,reasonably,not at all,not at all,not at all,reasonably,a little,very,reasonably,a little,a little,reasonably,reasonably,reasonably,reasonably,reasonably,very,a little,reasonably,a little,a little,a little,"Impressed, More interested in the internal workings. Appears less predictable in frequency of movements.",Yes,Provides an aspect of life to the home.,
A,r07,I agree,40 - 49,Female,,very,reasonably,a little,reasonably,not at all,very,not at all,not at all,reasonably,a little,not at all,a little,reasonably,a little,not at all,a little,reasonably,not at all,very,very,-,-,-,-,,reasonably,reasonably,not at all,not at all,reasonably,a little,not at all,reasonably,a little,very,very,not at all,not at all,reasonably,not at all,very,reasonably,not at all,a little,a little,reasonably,a little,reasonably,a little,a little,not at all,reasonably,reasonably,very,very,"Yes, that's scary / revolting! Yuck! :)",No,Would make me feel very uneasy.,Poor mole-rats!
A,r08,I agree,20 - 29,Female,,reasonably,very,reasonably,a little,not at all,reasonably,a little,not at all,a little,a little,not at all,a little,a little,a little,not at all,not at all,not at all,very,a little,reasonably,Small translucent columns with glittery lines and motors inside to make them sway and turn,"mechanical, swaying, tilting",remote controlled motors inside attached to some kind of rod that bends?,A bit confused / amused,,a little,reasonably,not at all,reasonably,a little,a little,a little,a little,not at all,a little,a little,a little,not at all,reasonably,a little,very,a little,not at all,reasonably,not at all,reasonably,not at all,a little,not at all,reasonably,a little,a little,a little,a little,a little,"Shocked, more amused, I think it's cooler and funnier than I expected and also a bit weirder. Really funny / odd.",No,"A bit too odd, I can't imagine myself choosing / buying it for my home - it'd look at it in a gallery though.","It's a really cool idea, really unexpected and strange and funny."
A,r09,I agree,20 - 29,Male,,a little,a little,not at all,not at all,not at all,reasonably,a little,reasonably,a little,a little,reasonably,a little,not at all,not at all,a little,not at all,not at all,a little,very,a little,Like moving vertebrae. A seabed of vertebral seascrapers / skyscrapers,Harmonious chaos. Out of sync but in tune.,Vibration. Electricity. Necessity.,Curious. Peaceful and intrigued. Felt a little like I wanted to make sense of what I was observing or attach some of my own meaning to the work.,,a little,not at all,not at all,reasonably,reasonably,a little,a little,very,a little,reasonably,not at all,not at all,not at all,very,a little,reasonably,reasonably,not at all,reasonably,reasonably,reasonably,reasonably,a little,a little,reasonably,a little,reasonably,a little,very,reasonably,It makes me feel as though I'd like to know how mole-rats are generating the energy to make this move. It makes it all the more beautiful to me.,No,I wouldn't be interested in keeping mole-rats locked up in a domestic environment purely for aesthetic objects to exist in my home.,Very fascinating. Would love to know what the thinking behind this piece of work is.
A,r10,I agree,50 - 59,Female,,a little,not at all,not at all,reasonably,not at all,very,a little,a little,a little,not at all,not at all,not at all,a little,a little,not at all,not at all,a little,not at all,reasonably,very,Phallic!!! Probing,Side to side. Rotating. Extending.,Electrical impulses.,Interested to know what they are going to be used for.,,reasonably,a little,not at all,a little,a little,reasonably,not at all,a little,not at all,reasonably,not at all,not at all,not at all,a little,not at all,reasonably,reasonably,not at all,not at all,a little,a little,reasonably,very,reasonably,a little,not at all,a little,reasonably,reasonably,very,Oh my word! Wasn't expecting that.,No,Faintly disturbing,Changed my perception of them
